"year","zone","band","measure","value"
"2010","S01001790","Band A","Count",1
"2006","S01001790","Band A","Count",1
"2007","S01001790","Band E","Count",77
"2012","S01001790","Band E","Count",77
"2008","S01001790","Band E","Count",77
"2011","S01001790","Band E","Count",77
"2013","S01001790","Band E","Count",77
"2009","S01001790","Band E","Count",77
"2006","S01001790","Band E","Count",76
"2003","S01001790","Band E","Count",76
"2010","S01001790","Band E","Count",77
"2013","S01001790","Band F","Count",54
"2005","S01001790","Band F","Count",55
"2006","S01001790","Band F","Count",55
"2009","S01001790","Band F","Count",53
"2011","S01001790","Band F","Count",54
"2012","S01001790","Band F","Count",54
"2007","S01001790","Band F","Count",54
"2010","S01001790","Band F","Count",54
"2003","S01001790","Band F","Count",55
"2008","S01001790","Band F","Count",54
"2004","S01001790","Band F","Count",55
"2003","S01001790","Band G","Count",39
"2004","S01001790","Band G","Count",39
"2013","S01001790","Band G","Count",39
"2009","S01001790","Band G","Count",40
"2008","S01001790","Band G","Count",39
"2005","S01001790","Band G","Count",39
"2007","S01001790","Band G","Count",39
"2006","S01001790","Band G","Count",39
"2012","S01001790","Band G","Count",39
"2011","S01001790","Band G","Count",39
"2010","S01001790","Band G","Count",39
"2004","S01001790","Band H","Count",3
"2005","S01001790","Band H","Count",3
"2006","S01001790","Band H","Count",3
"2007","S01001790","Band H","Count",3
"2008","S01001790","Band H","Count",5
"2009","S01001790","Band H","Count",5
"2010","S01001790","Band H","Count",5
"2011","S01001790","Band H","Count",5
"2012","S01001790","Band H","Count",5
"2013","S01001790","Band H","Count",5
"2003","S01001790","Band H","Count",3
"2009","S01001790","Band A","Count",1
"2012","S01001790","Band A","Count",1
"2003","S01001790","Band A","Count",1
"2011","S01001790","Band A","Count",1
"2004","S01001790","Band A","Count",1
"2005","S01001790","Band A","Count",1
"2008","S01001790","Band A","Count",1
"2007","S01001790","Band A","Count",1
"2013","S01001790","Band A","Count",1
"2003","S01001790","Band B","Count",1
"2005","S01001790","Band B","Count",1
"2006","S01001790","Band B","Count",1
"2007","S01001790","Band B","Count",1
"2008","S01001790","Band B","Count",1
"2009","S01001790","Band B","Count",1
"2013","S01001790","Band B","Count",1
"2012","S01001790","Band B","Count",1
"2004","S01001790","Band B","Count",1
"2010","S01001790","Band B","Count",1
"2011","S01001790","Band B","Count",1
"2008","S01001790","Band C","Count",129
"2004","S01001790","Band C","Count",131
"2010","S01001790","Band C","Count",129
"2007","S01001790","Band C","Count",129
"2005","S01001790","Band C","Count",131
"2006","S01001790","Band C","Count",131
"2011","S01001790","Band C","Count",129
"2012","S01001790","Band C","Count",129
"2013","S01001790","Band C","Count",129
"2003","S01001790","Band C","Count",131
"2009","S01001790","Band C","Count",129
"2005","S01001790","Band D","Count",12
"2007","S01001790","Band D","Count",12
"2011","S01001790","Band D","Count",12
"2008","S01001790","Band D","Count",12
"2003","S01001790","Band D","Count",12
"2013","S01001790","Band D","Count",12
"2009","S01001790","Band D","Count",12
"2012","S01001790","Band D","Count",12
"2010","S01001790","Band D","Count",12
"2006","S01001790","Band D","Count",12
"2004","S01001790","Band D","Count",12
"2005","S01001790","Band E","Count",76
"2004","S01001790","Band E","Count",76
"2004","S01001790","Band A","Ratio","0.31"
"2011","S01001790","Band A","Ratio","0.31"
"2010","S01001790","Band A","Ratio","0.31"
"2008","S01001790","Bands A-C","Ratio","41.2"
"2004","S01001790","Bands A-C","Ratio","41.82"
"2012","S01001790","Band A","Ratio","0.31"
"2013","S01001790","Bands A-C","Ratio","41.19"
"2007","S01001790","Bands A-C","Ratio","41.46"
"2009","S01001790","Bands D-E","Ratio","27.99"
"2006","S01001790","Bands D-E","Ratio","27.67"
"2009","S01001790","Band A","Ratio","0.31"
"2008","S01001790","Band A","Ratio","0.31"
"2008","S01001790","Bands D-E","Ratio","27.99"
"2005","S01001790","Band A","Ratio","0.31"
"2011","S01001790","Bands D-E","Ratio","27.99"
"2013","S01001790","Band A","Ratio","0.31"
"2005","S01001790","Bands D-E","Ratio","27.67"
"2007","S01001790","Band A","Ratio","0.32"
"2003","S01001790","Band A","Ratio","0.31"
"2006","S01001790","Band A","Ratio","0.31"
"2010","S01001790","Bands D-E","Ratio","27.99"
"2012","S01001790","Bands D-E","Ratio","27.99"
"2013","S01001790","Bands D-E","Ratio","27.99"
"2007","S01001790","Bands D-E","Ratio","28.16"
"2004","S01001790","Bands F-H","Ratio","30.5"
"2011","S01001790","Bands F-H","Ratio","30.82"
"2010","S01001790","Bands F-H","Ratio","30.82"
"2009","S01001790","Bands F-H","Ratio","30.82"
"2008","S01001790","Bands F-H","Ratio","30.82"
"2007","S01001790","Bands F-H","Ratio","30.38"
"2013","S01001790","Bands F-H","Ratio","30.82"
"2006","S01001790","Bands F-H","Ratio","30.5"
"2003","S01001790","Bands F-H","Ratio","30.5"
"2005","S01001790","Bands F-H","Ratio","30.5"
"2012","S01001790","Bands F-H","Ratio","30.82"
"2003","S01001790","Bands A-C","Ratio","41.82"
"2011","S01001790","Bands A-C","Ratio","41.2"
"2006","S01001790","Bands A-C","Ratio","41.82"
"2005","S01001790","Bands A-C","Ratio","41.82"
"2009","S01001790","Bands A-C","Ratio","41.2"
"2012","S01001790","Bands A-C","Ratio","41.2"
"2010","S01001790","Bands A-C","Ratio","41.2"
"2010","S01001791","Band A","Count",3
"2006","S01001791","Band A","Count",3
"2007","S01001791","Band E","Count",66
"2012","S01001791","Band E","Count",66
"2008","S01001791","Band E","Count",66
"2011","S01001791","Band E","Count",66
"2013","S01001791","Band E","Count",66
"2009","S01001791","Band E","Count",66
"2006","S01001791","Band E","Count",65
"2003","S01001791","Band E","Count",65
"2010","S01001791","Band E","Count",66
"2013","S01001791","Band F","Count",69
"2005","S01001791","Band F","Count",66
"2006","S01001791","Band F","Count",67
"2009","S01001791","Band F","Count",68
"2011","S01001791","Band F","Count",69
"2012","S01001791","Band F","Count",69
"2007","S01001791","Band F","Count",68
"2010","S01001791","Band F","Count",68
"2003","S01001791","Band F","Count",63
"2008","S01001791","Band F","Count",69
"2004","S01001791","Band F","Count",65
"2003","S01001791","Band G","Count",61
"2004","S01001791","Band G","Count",62
"2013","S01001791","Band G","Count",65
"2009","S01001791","Band G","Count",63
"2008","S01001791","Band G","Count",63
"2005","S01001791","Band G","Count",62
"2007","S01001791","Band G","Count",63
"2006","S01001791","Band G","Count",63
"2012","S01001791","Band G","Count",65
"2011","S01001791","Band G","Count",65
"2010","S01001791","Band G","Count",64
"2004","S01001791","Band H","Count",5
"2005","S01001791","Band H","Count",5
"2006","S01001791","Band H","Count",6
"2007","S01001791","Band H","Count",6
"2008","S01001791","Band H","Count",6
"2009","S01001791","Band H","Count",6
"2010","S01001791","Band H","Count",5
"2011","S01001791","Band H","Count",5
"2012","S01001791","Band H","Count",5
"2013","S01001791","Band H","Count",5
"2003","S01001791","Band H","Count",5
"2009","S01001791","Band A","Count",7
"2012","S01001791","Band A","Count",3
"2003","S01001791","Band A","Count",3
"2011","S01001791","Band A","Count",3
"2004","S01001791","Band A","Count",3
"2005","S01001791","Band A","Count",3
"2008","S01001791","Band A","Count",3
"2007","S01001791","Band A","Count",3
"2013","S01001791","Band A","Count",3
"2003","S01001791","Band B","Count",0
"2005","S01001791","Band B","Count",0
"2006","S01001791","Band B","Count",0
"2007","S01001791","Band B","Count",0
"2008","S01001791","Band B","Count",0
"2009","S01001791","Band B","Count",0
"2013","S01001791","Band B","Count",0
"2012","S01001791","Band B","Count",0
"2004","S01001791","Band B","Count",0
"2010","S01001791","Band B","Count",0
"2011","S01001791","Band B","Count",0
"2008","S01001791","Band C","Count",69
"2004","S01001791","Band C","Count",69
"2010","S01001791","Band C","Count",69
"2007","S01001791","Band C","Count",69
"2005","S01001791","Band C","Count",69
"2006","S01001791","Band C","Count",69
"2011","S01001791","Band C","Count",69
"2012","S01001791","Band C","Count",69
"2013","S01001791","Band C","Count",69
"2003","S01001791","Band C","Count",71
"2009","S01001791","Band C","Count",71
"2005","S01001791","Band D","Count",31
"2007","S01001791","Band D","Count",30
"2011","S01001791","Band D","Count",30
"2008","S01001791","Band D","Count",30
"2003","S01001791","Band D","Count",31
"2013","S01001791","Band D","Count",30
"2009","S01001791","Band D","Count",30
"2012","S01001791","Band D","Count",30
"2010","S01001791","Band D","Count",30
"2006","S01001791","Band D","Count",30
"2004","S01001791","Band D","Count",31
"2005","S01001791","Band E","Count",64
"2004","S01001791","Band E","Count",65
"2004","S01001791","Band A","Ratio",1
"2011","S01001791","Band A","Ratio","0.98"
"2010","S01001791","Band A","Ratio","0.98"
"2008","S01001791","Bands A-C","Ratio","23.53"
"2004","S01001791","Bands A-C","Ratio",24
"2012","S01001791","Band A","Ratio","0.98"
"2013","S01001791","Bands A-C","Ratio","23.45"
"2007","S01001791","Bands A-C","Ratio","23.61"
"2009","S01001791","Bands D-E","Ratio","30.87"
"2006","S01001791","Bands D-E","Ratio","31.35"
"2009","S01001791","Band A","Ratio","2.25"
"2008","S01001791","Band A","Ratio","0.98"
"2008","S01001791","Bands D-E","Ratio","31.37"
"2005","S01001791","Band A","Ratio",1
"2011","S01001791","Bands D-E","Ratio","31.27"
"2013","S01001791","Band A","Ratio","0.98"
"2005","S01001791","Bands D-E","Ratio","31.67"
"2007","S01001791","Band A","Ratio","0.98"
"2003","S01001791","Band A","Ratio",1
"2006","S01001791","Band A","Ratio","0.99"
"2010","S01001791","Bands D-E","Ratio","31.48"
"2012","S01001791","Bands D-E","Ratio","31.27"
"2013","S01001791","Bands D-E","Ratio","31.27"
"2007","S01001791","Bands D-E","Ratio","31.48"
"2004","S01001791","Bands F-H","Ratio",44
